rank	domain	subcellular_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
59	IPR036051,IPR001909	SL-0191	9.767660e-172	4.167641e-166	810.2262	100.00	supra_pair	IPR036051,IPR001909	327
60	IPR036051,IPR001909,IPR001909	SL-0191	2.988278e-165	1.253780e-159	778.4196	100.00	supra_triple	IPR036051,IPR001909,IPR001909	315
61	IPR000276,IPR000276,IPR017452	SL-9909	5.462782e-161	2.254425e-155	1129.1406	100.00	supra_triple	IPR000276,IPR000276,IPR017452	203
62	IPR013783,IPR036179	SL-9905	1.103222e-158	4.479434e-153	20.1385	100.00	supra_pair	IPR013783,IPR036179	434
63	IPR000276,IPR000276,IPR000276	SL-9909	2.819638e-155	1.126690e-149	1086.9817	100.00	supra_triple	IPR000276,IPR000276,IPR000276	196
64	IPR013106	SL-0039	1.513999e-151	5.955214e-146	16.8219	100.00	single	-	419
65	IPR036179,IPR003599	SL-9905	3.136571e-148	1.214769e-142	45.0970	100.00	supra_pair	IPR036179,IPR003599	229
66	IPR000276,IPR017452,IPR000276	SL-9909	7.475007e-147	2.851146e-141	519.5061	100.00	supra_triple	IPR000276,IPR017452,IPR000276	189
67	IPR009057	SL-0191	3.895345e-146	1.463602e-140	83.2103	100.00	single	-	312
68	IPR000725,IPR000725,IPR000725	SL-9909	3.018485e-145	1.117460e-139	inf	100.00	supra_triple	IPR000725,IPR000725,IPR000725	180
69	IPR001806	SL-9901	1.768781e-138	6.453223e-133	206.8683	100.00	single	-	129
70	IPR036179,IPR013106	SL-0039	3.507894e-136	1.261537e-130	31.9975	100.00	supra_pair	IPR036179,IPR013106	290
71	IPR005225	SL-9901	1.095094e-133	3.882800e-128	136.6962	100.00	single	-	153
72	IPR001909,IPR036236	SL-0191	2.694056e-130	9.419457e-125	608.9035	100.00	supra_pair	IPR001909,IPR036236	250
73	IPR000276,IPR000276,IPR017452	SL-0039	1.022832e-128	3.527224e-123	251.5143	100.00	supra_triple	IPR000276,IPR000276,IPR017452	203
74	IPR001909,IPR001909,IPR036236	SL-0191	1.503028e-126	5.113134e-121	590.9220	100.00	supra_triple	IPR001909,IPR001909,IPR036236	243
75	IPR000276,IPR000276,IPR000276	SL-0039	2.115499e-126	7.100734e-121	365.3490	100.00	supra_triple	IPR000276,IPR000276,IPR000276	196
76	IPR001806,IPR001806	SL-9901	5.061970e-126	1.676709e-120	259.8565	100.00	supra_pair	IPR001806,IPR001806	106
77	IPR003598	SL-9905	9.043216e-119	2.956541e-113	29.5318	100.00	single	-	232
78	IPR001356	SL-0191	2.300830e-118	7.425774e-113	85.4736	100.00	single	-	252
79	IPR001909,IPR036236,IPR013087	SL-0191	1.824424e-117	5.813670e-112	547.4704	100.00	supra_triple	IPR001909,IPR036236,IPR013087	226
80	IPR001356,IPR001356	SL-0191	8.613601e-117	2.710482e-111	84.3742	100.00	supra_pair	IPR001356,IPR001356	249
81	IPR015919	SL-9905	9.903845e-117	3.078014e-111	172.5885	100.00	single	-	117
82	IPR002126,IPR002126	SL-9905	1.418387e-116	4.200758e-111	189.7894	100.00	supra_pair	IPR002126,IPR002126	115
83	IPR002126	SL-9905	1.418387e-116	4.200758e-111	189.7894	100.00	single	-	115
84	IPR015919,IPR002126	SL-9905	1.418387e-116	4.200758e-111	189.7894	100.00	supra_pair	IPR015919,IPR002126	115
85	IPR015919,IPR002126,IPR002126	SL-9905	1.418387e-116	4.200758e-111	189.7894	100.00	supra_triple	IPR015919,IPR002126,IPR002126	115
86	IPR002126,IPR002126,IPR015919	SL-9905	2.235439e-115	6.394871e-110	187.8058	100.00	supra_triple	IPR002126,IPR002126,IPR015919	114
87	IPR002126,IPR015919	SL-9905	2.235439e-115	6.394871e-110	187.8058	100.00	supra_pair	IPR002126,IPR015919	114
88	IPR002126,IPR002126,IPR002126	SL-9905	2.235439e-115	6.394871e-110	187.8058	100.00	supra_triple	IPR002126,IPR002126,IPR002126	114
89	IPR002126,IPR015919,IPR002126	SL-9905	3.517123e-114	9.948309e-109	185.8261	100.00	supra_triple	IPR002126,IPR015919,IPR002126	113
90	IPR000725,IPR000725,IPR000725	SL-0039	2.734584e-113	7.648927e-108	221.1232	100.00	supra_triple	IPR000725,IPR000725,IPR000725	180
91	IPR009057,IPR001356	SL-0191	4.001287e-113	1.106904e-107	81.8142	100.00	supra_pair	IPR009057,IPR001356	242
92	IPR007110,IPR013783	SL-9905	2.447820e-112	6.697974e-107	20.5321	100.00	supra_pair	IPR007110,IPR013783	288
93	IPR000276,IPR017452,IPR000276	SL-0039	7.065212e-111	1.912467e-105	97.5541	100.00	supra_triple	IPR000276,IPR017452,IPR000276	189
94	IPR020894	SL-9905	1.355649e-110	3.592323e-105	179.9116	100.00	single	-	110
95	IPR002126,IPR020894	SL-9905	1.355649e-110	3.592323e-105	179.9116	100.00	supra_pair	IPR002126,IPR020894	110
96	IPR002126,IPR020894,IPR015919	SL-9905	2.118082e-109	5.496962e-104	177.9482	100.00	supra_triple	IPR002126,IPR020894,IPR015919	109
97	IPR020894,IPR015919	SL-9905	2.118082e-109	5.496962e-104	177.9482	100.00	supra_pair	IPR020894,IPR015919	109
98	IPR036259	SL-9909	1.087472e-108	2.793469e-103	inf	100.00	single	-	135
99	IPR002126,IPR002126,IPR020894	SL-9905	3.303435e-108	8.400060e-103	175.9888	100.00	supra_triple	IPR002126,IPR002126,IPR020894	108
100	IPR020894,IPR015919,IPR002126	SL-9905	5.142924e-107	1.294678e-101	174.0333	100.00	supra_triple	IPR020894,IPR015919,IPR002126	107
