rank	domain	cofactor_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
75	IPR044862	CHEBI:38290	6.701360e-21	6.742027e-17	inf	100.00	single	-	10
76	IPR005123,IPR044862	CHEBI:38290	6.701360e-21	6.742027e-17	inf	100.00	supra_pair	IPR005123,IPR044862	10
77	IPR001128,IPR002401,IPR001128	CHEBI:30413	2.162013e-20	2.146884e-16	476.2745	100.00	supra_triple	IPR001128,IPR002401,IPR001128	15
78	IPR000008,IPR035892,IPR035892	CHEBI:29108	2.536799e-20	2.424584e-16	inf	100.00	supra_triple	IPR000008,IPR035892,IPR035892	21
79	IPR021190,IPR006026,IPR001818	CHEBI:29108	2.536799e-20	2.424584e-16	inf	100.00	supra_triple	IPR021190,IPR006026,IPR001818	21
80	IPR021190,IPR006026	CHEBI:29108	2.536799e-20	2.424584e-16	inf	100.00	supra_pair	IPR021190,IPR006026	21
81	IPR046373	CHEBI:57692	4.388357e-20	4.042639e-16	inf	100.00	single	-	15
82	IPR036250	CHEBI:57692	4.388357e-20	4.042639e-16	inf	100.00	single	-	15
83	IPR009100	CHEBI:57692	4.388357e-20	4.042639e-16	inf	100.00	single	-	15
84	IPR036396,IPR001128,IPR036396	CHEBI:30413	5.091623e-20	4.580137e-16	inf	100.00	supra_triple	IPR036396,IPR001128,IPR036396	13
85	IPR001128,IPR036396,IPR002401	CHEBI:30413	5.091623e-20	4.580137e-16	inf	100.00	supra_triple	IPR001128,IPR036396,IPR002401	13
86	IPR006026,IPR001818	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_pair	IPR006026,IPR001818	23
87	IPR033739	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	single	-	23
88	IPR001818,IPR033739,IPR021190	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_triple	IPR001818,IPR033739,IPR021190	23
89	IPR001818,IPR033739	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_pair	IPR001818,IPR033739	23
90	IPR006026,IPR001818,IPR033739	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_triple	IPR006026,IPR001818,IPR033739	23
91	IPR001818	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	single	-	23
92	IPR021190,IPR021190	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_pair	IPR021190,IPR021190	23
93	IPR033739,IPR021190,IPR021190	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_triple	IPR033739,IPR021190,IPR021190	23
94	IPR021190	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	single	-	23
95	IPR033739,IPR021190	CHEBI:29108	5.802761e-20	4.670380e-16	176.5584	100.00	supra_pair	IPR033739,IPR021190	23
96	IPR027417,IPR005225	CHEBI:18420	7.746732e-20	6.170046e-16	inf	100.00	supra_pair	IPR027417,IPR005225	49
97	IPR015424,IPR015422	CHEBI:597326	1.138361e-19	8.973243e-16	inf	100.00	supra_pair	IPR015424,IPR015422	12
98	IPR018487	CHEBI:29108	2.270372e-19	1.701915e-15	inf	100.00	single	-	20
99	IPR018487,IPR018487	CHEBI:29108	2.270372e-19	1.701915e-15	inf	100.00	supra_pair	IPR018487,IPR018487	20
100	IPR036375	CHEBI:29108	2.270372e-19	1.701915e-15	inf	100.00	single	-	20
