rank	domain	reactome_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
67	IPR007110	R-HSA-202733	2.522933e-105	6.861795e-99	67.7646	100.00	single	-	364
68	IPR001806,IPR001806	R-HSA-8873719	3.365624e-105	9.019107e-99	1212.7568	100.00	supra_pair	IPR001806,IPR001806	89
69	IPR008160,IPR008160	R-HSA-8948216	1.128841e-104	2.981195e-98	28180.0000	100.00	supra_pair	IPR008160,IPR008160	44
70	IPR003599	R-HSA-198933	3.147309e-104	8.193100e-98	52.5240	100.00	single	-	291
71	IPR039008,IPR039008	R-HSA-6809371	7.880461e-104	1.967142e-97	1360.4595	100.00	supra_pair	IPR039008,IPR039008	60
72	IPR039008	R-HSA-6809371	7.880461e-104	1.967142e-97	1360.4595	100.00	single	-	60
73	IPR039008,IPR039008,IPR039008	R-HSA-6809371	7.880461e-104	1.967142e-97	1360.4595	100.00	supra_triple	IPR039008,IPR039008,IPR039008	60
74	IPR039008	R-HSA-6805567	2.294062e-101	5.500452e-95	1183.2353	100.00	single	-	60
75	IPR039008,IPR039008	R-HSA-6805567	2.294062e-101	5.500452e-95	1183.2353	100.00	supra_pair	IPR039008,IPR039008	60
76	IPR039008,IPR039008,IPR039008	R-HSA-6805567	2.294062e-101	5.500452e-95	1183.2353	100.00	supra_triple	IPR039008,IPR039008,IPR039008	60
77	IPR000219,IPR000219,IPR000219	R-HSA-193648	6.953107e-101	1.645489e-94	2636.0156	100.00	supra_triple	IPR000219,IPR000219,IPR000219	61
78	IPR000276,IPR000276,IPR017452	R-HSA-418594	6.641923e-100	1.551694e-93	63.8252	100.00	supra_triple	IPR000276,IPR000276,IPR017452	175
79	IPR035899,IPR035899,IPR000219	R-HSA-193648	7.295470e-100	1.682802e-93	2928.9941	100.00	supra_triple	IPR035899,IPR035899,IPR000219	57
80	IPR035899,IPR035899	R-HSA-193648	3.018998e-99	6.876694e-93	2719.5385	100.00	supra_pair	IPR035899,IPR035899	58
81	IPR035899,IPR000219	R-HSA-416482	5.751691e-98	1.262770e-91	1122.6000	100.00	supra_pair	IPR035899,IPR000219	64
82	IPR035899,IPR000219,IPR000219	R-HSA-416482	5.751691e-98	1.262770e-91	1122.6000	100.00	supra_triple	IPR035899,IPR000219,IPR000219	64
83	IPR000219,IPR000219	R-HSA-416482	5.751691e-98	1.262770e-91	1122.6000	100.00	supra_pair	IPR000219,IPR000219	64
84	IPR000219	R-HSA-416482	2.193435e-97	4.758305e-91	1056.4706	100.00	single	-	65
85	IPR007110	R-HSA-5690714	5.373588e-97	1.152000e-90	1190.6522	100.00	single	-	364
86	IPR035899	R-HSA-416482	8.021595e-97	1.699688e-90	997.6889	100.00	single	-	66
87	IPR013783	R-HSA-202733	2.720975e-96	5.699178e-90	47.2070	100.00	single	-	554
88	IPR000536,IPR000536	R-HSA-383280	1.218324e-95	2.522823e-89	28540.5333	100.00	supra_pair	IPR000536,IPR000536	39
89	IPR000884,IPR036383	R-HSA-5083635	1.274633e-95	2.609769e-89	37911.5455	100.00	supra_pair	IPR000884,IPR036383	48
90	IPR000884,IPR036383	R-HSA-5173214	2.483175e-94	5.027727e-88	18954.0909	100.00	supra_pair	IPR000884,IPR036383	48
91	IPR036383,IPR000884,IPR036383	R-HSA-5083635	5.638438e-94	1.129079e-87	25366.5000	100.00	supra_triple	IPR036383,IPR000884,IPR036383	44
92	IPR036383,IPR000884	R-HSA-5083635	7.290482e-94	1.444027e-87	29779.7143	100.00	supra_pair	IPR036383,IPR000884	51
93	IPR036179	R-HSA-5690714	7.439934e-94	1.457783e-87	1049.5192	100.00	single	-	403
94	IPR036383	R-HSA-5083635	2.527149e-93	4.899027e-87	27791.9333	100.00	single	-	52
95	IPR036383,IPR000884,IPR036383	R-HSA-5173214	7.324912e-93	1.405030e-86	16909.5000	100.00	supra_triple	IPR036383,IPR000884,IPR036383	44
96	IPR000884	R-HSA-5083635	8.370457e-93	1.588857e-86	26052.6250	100.00	single	-	53
97	IPR036383,IPR000884	R-HSA-5173214	1.419926e-92	2.667479e-86	14888.5357	100.00	supra_pair	IPR036383,IPR000884	51
98	IPR007110	R-HSA-2029481	2.025955e-92	3.767130e-86	274.3917	100.00	single	-	364
99	IPR008160	R-HSA-1650814	3.401255e-92	6.260526e-86	1264.4092	100.00	single	-	61
100	IPR036383	R-HSA-5173214	4.921561e-92	8.968291e-86	13894.7333	100.00	single	-	52
