rank	domain	go_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
49	IPR017441	GO:0004674	0.000000e+00	0.000000e+00	380.3068	100.00	single	-	377
50	IPR000719,IPR000719	GO:0004674	0.000000e+00	0.000000e+00	1471.9116	100.00	supra_pair	IPR000719,IPR000719	365
51	IPR013083	GO:0061630	0.000000e+00	0.000000e+00	264.0833	100.00	single	-	453
52	IPR013087	GO:0000981	0.000000e+00	0.000000e+00	42.7088	100.00	single	-	798
53	IPR000276,IPR000725	GO:0004984	0.000000e+00	0.000000e+00	255065.4000	100.00	supra_pair	IPR000276,IPR000725	419
54	IPR000276	GO:0005886	0.000000e+00	0.000000e+00	81.5101	100.00	single	-	708
55	IPR000725,IPR000725,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	39430.4000	100.00	supra_triple	IPR000725,IPR000725,IPR000276	389
56	IPR000725,IPR017452,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	27889.6491	100.00	supra_triple	IPR000725,IPR017452,IPR000276	347
57	IPR000276,IPR000725,IPR000276	GO:0004984	0.000000e+00	0.000000e+00	77318.9785	100.00	supra_triple	IPR000276,IPR000725,IPR000276	392
58	IPR017441,IPR008271	GO:0004674	2.359432e-314	7.895778e-307	571.1610	100.00	supra_pair	IPR017441,IPR008271	231
59	IPR000276,IPR000276	GO:0005886	1.174212e-312	3.835912e-305	110.4038	100.00	supra_pair	IPR000276,IPR000276	597
60	IPR000719,IPR000719,IPR017441	GO:0004674	2.452898e-312	7.826767e-305	564.2741	100.00	supra_triple	IPR000719,IPR000719,IPR017441	230
61	IPR000725,IPR000725,IPR000725	GO:0004984	6.130172e-308	1.911575e-300	4532.1350	100.00	supra_triple	IPR000725,IPR000725,IPR000725	181
62	IPR027417	GO:0003924	5.838320e-300	1.033868e-292	129.3380	100.00	single	-	866
63	IPR013087,IPR013087,IPR013087	GO:0005634	1.570540e-296	4.788592e-289	30.0438	100.00	supra_triple	IPR013087,IPR013087,IPR013087	745
64	IPR013087	GO:0005634	2.190210e-296	3.674362e-289	24.0368	100.00	single	-	798
