# entries=575503 taxon=9606 taxon_entries=20431
database	id_type	n_proteins	n_distinct_terms	proteins_per_term	example
Orphanet		4482	4119	1.09	217385
CD-CODE		3752	317	11.84	DEE660B4
PAN-GO	3 GO annotations based on evolutionary models	3746	3746	1.00	P31946
EMDB		3711	13193	0.28	EMD-27630
EMDB	-	3711	13193	0.28	EMD-27630
PDB	EM	3628	11049	0.33	8DP5
DIP		3611	3632	0.99	DIP-743N
DIP	-	3611	3632	0.99	DIP-743N
ComplexPortal		3583	2419	1.48	CPX-1147
BindingDB		3458	3458	1.00	P31946
BindingDB	-	3458	3458	1.00	P31946
PAN-GO	4 GO annotations based on evolutionary models	3397	3397	1.00	P61981
DrugBank		3388	8486	0.40	DB09130
PAN-GO	0 GO annotations based on evolutionary models	3150	3150	1.00	P78314
PAN-GO	2 GO annotations based on evolutionary models	2884	2884	1.00	Q96QU6
BRENDA		2743	1507	1.82	3.1.3.3
BRENDA	2681	2743	1507	1.82	3.1.3.3
MetOSite		2376	2376	1.00	P31946
MetOSite	-	2376	2376	1.00	P31946
TCDB		2347	1952	1.20	8.A.98.1.10
PDB	NMR	2110	4683	0.45	2CR4
PAN-GO	5 GO annotations based on evolutionary models	1990	1990	1.00	P62258
Pharos	Tchem	1970	1970	1.00	P61981
TopDownProteomics		1964	2228	0.88	P31946-1
PAN-GO	1 GO annotation based on evolutionary models	1901	1901	1.00	Q9H2F3
DrugCentral		1840	1840	1.00	P14060
DrugCentral	-	1840	1840	1.00	P14060
PIRSF		1803	935	1.93	PIRSF000868
GuidetoPHARMACOLOGY		1711	1711	1.00	890
GuidetoPHARMACOLOGY	-	1711	1711	1.00	890
GeneReviews		1652	1646	1.00	PPP2R5D
GeneReviews	-	1652	1646	1.00	PPP2R5D
ABCD		1487	1487	1.00	P08195
GlyConnect		1358	1359	1.00	P08195
UniPathway		1354	203	6.67	UPA00062
NCBIfam		1351	837	1.61	TIGR03037
BMRB		1289	1289	1.00	P63104
BMRB	-	1289	1289	1.00	P63104
BioCyc		1285	1285	1.00	MetaCyc:ENSG00000105568-MONOMER
BioCyc	-	1285	1285	1.00	MetaCyc:ENSG00000105568-MONOMER
DisProt		1272	1294	0.98	DP03654
